,Datetime,Tweet Id,Text,tweet_clean,no_emoji
3058,2022-07-04 18:34:35+00:00,1544026906881843201,Me trying to save Eddie Munson from the upside down bats #StrangerThings #strangerthingsseason4  https://t.co/PEW9th5UQM,Me trying to save from the upside down bats strangerthingsseason4,Me trying to save from the upside down bats strangerthingsseason4
3059,2022-07-04 18:34:34+00:00,1544026899600613381,"Can you spot the concealed faerie in the night...?
#fantasy #fae #fairy #strangerthingsseason4 #nightatstonecottage https://t.co/kgIoCd7VTt",Can you spot the concealed faerie in the night ...? fantasy fae fairy strangerthingsseason4,Can you spot the concealed faerie in the night ...? fantasy fae fairy strangerthingsseason4
3060,2022-07-04 18:34:24+00:00,1544026858773258240,Think I’m straight for Nancy Wheeler with a sawn off shotty 😅 #strangerthingsseason4,Think I ’ m straight for Nancy Wheeler with a sawn off shotty 😅 strangerthingsseason4,Think I ’ m straight for Nancy Wheeler with a sawn off shotty sweat smile strangerthingsseason4
3061,2022-07-04 18:34:22+00:00,1544026849948405762,"Max is alive! Her 🫀 stopped for a moment so Vecna counted it as she died and he has 4 victims to open the gates, he… https://t.co/1OJ9NS7oJV","is alive ! Her 🫀 stopped for a moment so it as she and he 4 to open the , he …","is alive ! Her 🫀 stopped for a moment so it as she and he 4 to open the , he …"
3062,2022-07-04 18:33:44+00:00,1544026690908741632,"FREAKING KNEW IT! IT WAS ALWAYS #VECNA 
""All I needed was someone to open the door &amp; you did that for me without ev… https://t.co/GDt7A7pSYq","KNEW IT ! IT WAS ALWAYS "" All I was someone to open the door & ; you did that for me without …","KNEW IT ! IT WAS ALWAYS "" All I was someone to open the door & ; you did that for me without …"
3063,2022-07-04 18:33:42+00:00,1544026681551249408,Me having to wait for season 5 of @Stranger_Things #strangerthingsseason4 #StrangerThings #StrangerThings4… https://t.co/syeCS6tG5J,Me to wait for season 5 of strangerthingsseason4 StrangerThings4 …,Me to wait for season 5 of strangerthingsseason4 StrangerThings4 …
3064,2022-07-04 18:33:41+00:00,1544026679579910145,Not me sobbing at stranger things !!! 🥹😭#strangerthingsseason4,Not me sobbing at stranger !!! 🥹😭 strangerthingsseason4,Not me sobbing at stranger !!! 🥹sob strangerthingsseason4
3065,2022-07-04 18:33:38+00:00,1544026665797681152,"OBEY YOUR MASTER!! 🎸
I will always struggle with drawing guitar strings 
#StrangerThings #strangerthingsseason4… https://t.co/fq98YfqhiW",OBEY YOUR MASTER !! 🎸 I will always struggle with drawing guitar strangerthingsseason4 …,OBEY YOUR MASTER !! guitar I will always struggle with drawing guitar strangerthingsseason4 …
3066,2022-07-04 18:33:16+00:00,1544026574986661889,About to watch part 2 #strangerthingsseason4,About to watch part 2 strangerthingsseason4,About to watch part 2 strangerthingsseason4
3067,2022-07-04 18:32:59+00:00,1544026504551886848,If u wanna live in peace so don't ever live in hawkins 🙂 #strangerthingsseason4 #StrangerThings,If u live in peace so don ' t ever live in 🙂 strangerthingsseason4,If u live in peace so don ' t ever live in slightly smiling face strangerthingsseason4
3068,2022-07-04 18:32:43+00:00,1544026435119206400,Tags #strangerthingsseason4 #StrangerThings #ELEVEN #HellfireClub #netflix #ciencia #cienciapop #popscience,strangerthingsseason4 ELEVEN,strangerthingsseason4 ELEVEN
3069,2022-07-04 18:32:22+00:00,1544026348095774722,finished #strangerthingsseason4. let’s just say i’m glad I don’t have to watch it again for another 2 years,finished strangerthingsseason4 . let ’ s just say i ’ m glad I don ’ t have to watch it again for another 2,finished strangerthingsseason4 . let ’ s just say i ’ m glad I don ’ t have to watch it again for another 2
3070,2022-07-04 18:31:48+00:00,1544026205220921351,So watching #strangerthingsseason4 again cos mum is watching it and Steve is giving me some serious Hopper vibes... #StrangerThingsvol2,So watching strangerthingsseason4 again cos mum is watching it and is giving me some serious Hopper ... StrangerThingsvol2,So watching strangerthingsseason4 again cos mum is watching it and is giving me some serious Hopper ... StrangerThingsvol2
3071,2022-07-04 18:31:47+00:00,1544026198623264768,"My #StrangerThingsSeason4 #Reactions START NOW!!!

https://t.co/SIxTOCINcT",My StrangerThingsSeason4 START NOW !!!,My StrangerThingsSeason4 START NOW !!!
3072,2022-07-04 18:31:34+00:00,1544026146756501509,"elmax x bed peace
#strangerthingsseason4 https://t.co/TJ8qVvgAeB",x bed peace strangerthingsseason4,x bed peace strangerthingsseason4
3073,2022-07-04 18:31:28+00:00,1544026121158770689,Elevens powers only work when there’s danger around… #strangerthingsseason4 #StrangerThings,only work when there ’ s danger around … strangerthingsseason4,only work when there ’ s danger around … strangerthingsseason4
3074,2022-07-04 18:31:14+00:00,1544026062593605633,Yep we’re entering #strangerthingsseason4 and if you’re not watching #SCOTUS and #VoteBlueOrWeAreScrewed it’s gonna… https://t.co/Luaq3sYLbE,Yep we ’ re entering strangerthingsseason4 and if you ’ re not watching and it ’ s …,Yep we ’ re entering strangerthingsseason4 and if you ’ re not watching and it ’ s …
3075,2022-07-04 18:31:13+00:00,1544026058898432001,Eddiiiieee 😭😭 #strangerthingsseason4,😭😭 strangerthingsseason4,sobsob strangerthingsseason4
3076,2022-07-04 18:31:07+00:00,1544026032503668736,"BEST POSTER, NO DOUBTS🎸
#StrangerThings4 #StrangerThings #strangerthingsseason4 https://t.co/K6vOh0GtYG","BEST POSTER , NO 🎸 StrangerThings4 strangerthingsseason4","BEST POSTER , NO guitar StrangerThings4 strangerthingsseason4"
3077,2022-07-04 18:31:01+00:00,1544026006570340354,This scene 🤘🏻⚡🎸🔥 #strangerthingsseason4 #StrangerThings #EDDIEMUNSON https://t.co/jT7etcIiNQ,This scene 🤘🏻⚡🎸🔥 strangerthingsseason4,This scene sign of the horns light skin tonezapguitarfire strangerthingsseason4
3078,2022-07-04 18:30:44+00:00,1544025937146167298,"Open Sign for Business 24x12In Large Size Super Bright LED Neon Sign Oval Remote Control 

$72
Interested DM for De… https://t.co/UBA9IX0jXm",Open Sign for Business 24x12In Large Size Super Bright LED Neon Sign Oval Remote Control $ 72 Interested for De …,Open Sign for Business 24x12In Large Size Super Bright LED Neon Sign Oval Remote Control $ 72 Interested for De …
3079,2022-07-04 18:30:41+00:00,1544025923598565376,@rinified roncance &gt;&gt;&gt;&gt;&gt; any other st ship #strangerthingsseason4,& ;& ;& ;& ;& ; any other st ship strangerthingsseason4,& ;& ;& ;& ;& ; any other st ship strangerthingsseason4
3080,2022-07-04 18:30:35+00:00,1544025896692203526,"Watching Stranger Things feels like the people from Back to the Future mixed up with Hitchcock’s Birds, Star Wars,… https://t.co/4eYDihNPqF","Watching Stranger like the people from Back to the Future mixed up with ’ s , Star ,…","Watching Stranger like the people from Back to the Future mixed up with ’ s , Star ,…"
3081,2022-07-04 18:30:17+00:00,1544025823895851013,This Scene and Music was AMAZING Eddi #strangerthingsseason4 https://t.co/azownBFKfp,This Scene and Music was AMAZING strangerthingsseason4,This Scene and Music was AMAZING strangerthingsseason4
3082,2022-07-04 18:30:15+00:00,1544025813091323904,Finally watching the new episodes of Stranger Things and I am not ready🥺🥺 #strangerthingsseason4,Finally watching the new of Stranger and I am not ready 🥺🥺 strangerthingsseason4,Finally watching the new of Stranger and I am not ready pleadingpleading strangerthingsseason4
3083,2022-07-04 18:30:12+00:00,1544025803813437446,"Netflix Ghost Rider 2022
#strangerthingsseason4 https://t.co/Ro3xxrZFHk",Ghost Rider 2022 strangerthingsseason4,Ghost Rider 2022 strangerthingsseason4
3084,2022-07-04 18:30:12+00:00,1544025802618159107,"If You Are Looking To Start Doing Yoga or Gym Then These are the perfect outfits for you 🙂
Check Out 👉👇… https://t.co/8Oh8PWVPOg",If You Are Looking To Start Doing Yoga or Gym Then These are the perfect for you 🙂 Check Out 👉👇…,If You Are Looking To Start Doing Yoga or Gym Then These are the perfect for you slightly smiling face Check Out point rightpoint down…
3085,2022-07-04 18:29:51+00:00,1544025715468910592,I seriously don't understand why anyone would hate Argyle. He's one of the funniest characters this season! We need… https://t.co/WR4436fqUK,I seriously don ' t understand why anyone would hate . He ' s one of the this season ! We need …,I seriously don ' t understand why anyone would hate . He ' s one of the this season ! We need …
3086,2022-07-04 18:29:47+00:00,1544025697009680389,Ironically my lights flicker #strangerthingsseason4 https://t.co/EKGwsaYr8q,Ironically my flicker strangerthingsseason4,Ironically my flicker strangerthingsseason4
3087,2022-07-04 18:29:42+00:00,1544025674943533056,"#Fortnite #PS5Share
#PS5

Happy 4th to all! #merica
#strangerthingsseason4
#StrangerThings
#LIVE… https://t.co/UmzvfRy6YD",PS5Share PS5 Happy 4th to all ! strangerthingsseason4 LIVE …,PS5Share PS5 Happy 4th to all ! strangerthingsseason4 LIVE …
3088,2022-07-04 18:29:21+00:00,1544025586863116290,"Anywayssss, this should be done within the next week 👀👀👀 #StrangerThings #strangerthingsseason4 @Stranger_Things… https://t.co/SVUdZJamhO",", this should be done within the next week 👀👀👀 strangerthingsseason4 …",", this should be done within the next week eyeseyeseyes strangerthingsseason4 …"
3089,2022-07-04 18:29:11+00:00,1544025547805712386,Freestyle🔥 called “Grateful” #FuturePerfect #4thOfJuly #freestyle #strangerthingsseason4 #gratitude #Spiritual https://t.co/Gtf2zwlzXe,🔥 “ Grateful ” 4thOfJuly strangerthingsseason4 gratitude Spiritual,fire “ Grateful ” 4thOfJuly strangerthingsseason4 gratitude Spiritual
3090,2022-07-04 18:29:06+00:00,1544025526783942656,"Okay..
 I want more.🔥🔥🔥🔥
#StrangerThings #strangerthingsseason4 https://t.co/JhRUFQYcJv",.. I want more .🔥🔥🔥🔥 strangerthingsseason4,.. I want more .firefirefirefire strangerthingsseason4
3091,2022-07-04 18:28:58+00:00,1544025491354566656,i am wildly attracted to #strangerthingsseason4 hopper and i can’t explain why #StrangerThings,i am wildly to strangerthingsseason4 hopper and i can ’ t explain why,i am wildly to strangerthingsseason4 hopper and i can ’ t explain why
3092,2022-07-04 18:28:33+00:00,1544025388237602817,"So this has been bugging me a little, are we supposed to just assume Vecna is just chilling on the sofa in his down… https://t.co/2T5telkIxy","So this been me a little , are we supposed to just assume is just chilling on the sofa in his down …","So this been me a little , are we supposed to just assume is just chilling on the sofa in his down …"
3093,2022-07-04 18:28:21+00:00,1544025337465655296,"When did every episode of Stranger Things become a feature film!? 😬🤓

#StrangerThings4 #strangerthingsseason4 #theupsidedown",When did every episode of Stranger become a feature film !? 😬🤓 StrangerThings4 strangerthingsseason4,When did every episode of Stranger become a feature film !? grimacingnerd face StrangerThings4 strangerthingsseason4
3094,2022-07-04 18:27:55+00:00,1544025228044447744,"NEW VIDEO: 5 Most Powerful Moments In Stranger Things Season 4 Volume 2

🎥 https://t.co/7nOvVVAa9o… https://t.co/xUdMOEUYXT",NEW VIDEO : 5 Most Powerful In Stranger Season 4 Volume 2 🎥,NEW VIDEO : 5 Most Powerful In Stranger Season 4 Volume 2 movie camera
3095,2022-07-04 18:27:28+00:00,1544025115410763776,#davido my new jam dropping soon 🔥🔥🔥 on the 15th help me tag @davido leggo #olujacobs #iPhone13ProMax Max #buju… https://t.co/TGpsVzWojq,my new jam dropping soon 🔥🔥🔥 on the 15th help me tag iPhone13ProMax …,my new jam dropping soon firefirefire on the 15th help me tag iPhone13ProMax …
3096,2022-07-04 18:27:23+00:00,1544025095349354497,2 episodes in volume 2 of #strangerthingsseason4 ?!?!? Was I the only one who though we got more then that 🥲,2 in volume 2 of strangerthingsseason4 ?!?!? Was I the only one who though we got more then that 🥲,2 in volume 2 of strangerthingsseason4 ?!?!? Was I the only one who though we got more then that 🥲
3097,2022-07-04 18:27:09+00:00,1544025033936363520,@StrangerNews11 Hopefully she's still confused and then chooses #ROBINBUCKLEY  #strangerthingsseason4,Hopefully she ' s still confused and then strangerthingsseason4,Hopefully she ' s still confused and then strangerthingsseason4
3098,2022-07-04 18:26:51+00:00,1544024957688201218,"more scooby doo fruity four (and also dustin this time) 

#strangerthingsseason4 https://t.co/u116v4WJ1w",more fruity four ( and also this time ) strangerthingsseason4,more fruity four ( and also this time ) strangerthingsseason4
3099,2022-07-04 18:26:48+00:00,1544024947063791621,"robin buckley - seeing green 

stranger things season 4 volume 1 2 st4 vol 1 vol 2 spoilers maya hawke… https://t.co/dLqXfEMpCg",robin - seeing green stranger season 4 volume 1 2 st4 vol 1 vol 2 maya …,robin - seeing green stranger season 4 volume 1 2 st4 vol 1 vol 2 maya …
3100,2022-07-04 18:26:48+00:00,1544024946095054848,"So I really hope this saves you from #Vecna ❤️
Here is my ethereal cover of Running Up that Hill Cover… https://t.co/XAkL7KC4ab",So I really hope this you from ❤️ Here is my ethereal cover of Running Up that Hill Cover …,So I really hope this you from heart Here is my ethereal cover of Running Up that Hill Cover …
3101,2022-07-04 18:26:45+00:00,1544024934409797637,"I don't know why this beat sounds like Asake and Fireboy
https://t.co/PVpcDHnpYr
#BuildJakapan… https://t.co/5bm994fgw2",I don ' t know why this beat like and Fireboy …,I don ' t know why this beat like and Fireboy …
3102,2022-07-04 18:26:32+00:00,1544024877811785729,"stranger things 
one of the best show Netflix have ever produced 🔥
#strangerthingsseason4 https://t.co/Dk4hlDbsne",stranger one of the best show have ever produced 🔥 strangerthingsseason4,stranger one of the best show have ever produced fire strangerthingsseason4
3103,2022-07-04 18:26:07+00:00,1544024776230010883,"A Sad Story 😔
#4THJULY #strangerthingsseason4 #StrangerThings #ENGvIND #FuturePerfect #ShaheenShahAfridi… https://t.co/wqHleq72dL",A Sad Story 😔 4THJULY strangerthingsseason4 …,A Sad Story pensive 4THJULY strangerthingsseason4 …
3104,2022-07-04 18:25:55+00:00,1544024726095421441,"Finished #strangerthingsseason4 and it’s so obvious that while @netflix is hunting for new revenue streams, they wi… https://t.co/aXtDuqXTne","Finished strangerthingsseason4 and it ’ s so obvious that while is hunting for new revenue , they wi …","Finished strangerthingsseason4 and it ’ s so obvious that while is hunting for new revenue , they wi …"
3105,2022-07-04 18:25:48+00:00,1544024693300113408,"maya hawke &amp; robin buckley giving off very VERY sapphic energy: a thread 🧵
*
*
*
*
organized by aesthetic &lt;3
#sttwt… https://t.co/Luf9PZrHZV",maya & ; robin giving off very VERY sapphic energy : a thread 🧵 * * * * organized by aesthetic & ; 3 …,maya & ; robin giving off very VERY sapphic energy : a thread thread * * * * organized by aesthetic & ; 3 …
3106,2022-07-04 18:25:42+00:00,1544024671607296000,"Phenomenal.. just phenomenal television man

#StrangerThings 
#strangerthingsseason4 https://t.co/iDZdta79Ag",Phenomenal .. just phenomenal television man strangerthingsseason4,Phenomenal .. just phenomenal television man strangerthingsseason4
3107,2022-07-04 18:25:18+00:00,1544024568691556354,@netflix what in the actual fuck my dude. I shouldn’t be crying this hard over one show. #strangerthingsseason4,what in the actual my dude . I ’ t be crying this hard over one show . strangerthingsseason4,what in the actual my dude . I ’ t be crying this hard over one show . strangerthingsseason4
3108,2022-07-04 18:25:16+00:00,1544024559568969730,"Did your favourite make it?
#afrokaycee #kayceeshot 

#strangerthingsseason4 #BuildJakapan #FuturePerfect #ENGvIND https://t.co/RGcU4qC4Wl",Did your make it ? strangerthingsseason4,Did your make it ? strangerthingsseason4
3109,2022-07-04 18:24:58+00:00,1544024483685666816,Get Master of Puppets to Number One #DoItForEddie #strangerthingsseason4 #masterofpuppets https://t.co/lW74qMdhPj,Get Master of to Number One strangerthingsseason4,Get Master of to Number One strangerthingsseason4
3110,2022-07-04 18:24:34+00:00,1544024384121315332,"This kiss wasn’t scripted, Winona and David added it on the day of filming.😅
#strangerthingsseason4 https://t.co/j3mBZeyQJL","This kiss ’ t , and added it on the day of .😅 strangerthingsseason4","This kiss ’ t , and added it on the day of .sweat smile strangerthingsseason4"
3111,2022-07-04 18:24:20+00:00,1544024326294237184,Best series ever!💯 #strangerthingsseason4,Best series ever !💯 strangerthingsseason4,Best series ever !100 strangerthingsseason4
3112,2022-07-04 18:24:13+00:00,1544024297311723524,"I don't know why this beat sounds like Asake and Fireboy
https://t.co/PVpcDHnpYr
#BuildJakapan… https://t.co/F0As7UVTwS",I don ' t know why this beat like and Fireboy …,I don ' t know why this beat like and Fireboy …
3113,2022-07-04 18:24:08+00:00,1544024276193378308,#CareCoin is proving itself to become a top #BSC project in 2022 and beyond. Pairings are ETH and USDT. #Binance… https://t.co/2xDrHxaizx,is proving itself to become a top project in 2022 and beyond . are and . …,is proving itself to become a top project in 2022 and beyond . are and . …
3114,2022-07-04 18:23:49+00:00,1544024195931291648,Gotta be clean to enter the mind 🤣🤣🤣 #strangerthingsseason4,be clean to enter the mind 🤣🤣🤣 strangerthingsseason4,be clean to enter the mind roflroflrofl strangerthingsseason4
3115,2022-07-04 18:23:45+00:00,1544024180852772865,#strangerthingsseason4 Caleb and Sadie stole this season. From being the most hated character to being the most bel… https://t.co/2lsqbjfPwA,strangerthingsseason4 and stole this season . From being the most character to being the most bel …,strangerthingsseason4 and stole this season . From being the most character to being the most bel …
3116,2022-07-04 18:23:41+00:00,1544024161185845249,"Well, I think #StrangerThings single handedly saved #Netflix from biting the dust. 
#strangerthingsseason4 https://t.co/02Kr3AKV3s","Well , I think single saved from biting the dust . strangerthingsseason4","Well , I think single saved from biting the dust . strangerthingsseason4"
3117,2022-07-04 18:23:40+00:00,1544024158144581632,"Finished the penultimate episode of #strangerthingsseason4 and seriously impressed, best yet by far and set the sce… https://t.co/ZPg9TM7csY","Finished the penultimate episode of strangerthingsseason4 and seriously , best yet by far and set the …","Finished the penultimate episode of strangerthingsseason4 and seriously , best yet by far and set the …"
3118,2022-07-04 18:23:34+00:00,1544024132387733504,Ohhhk tweets about #strangerthingsseason4 blow up,about strangerthingsseason4 blow up,about strangerthingsseason4 blow up
3119,2022-07-04 18:23:07+00:00,1544024017916624899,Just because I am going to watch #strangerthingsseason4 again 🤩,Just because I am going to watch strangerthingsseason4 again 🤩,Just because I am going to watch strangerthingsseason4 again star struck
